,Theme,Paragraph,Question,Answer_possible,Answer_text,Answer_start
5254,Buddhism,"Gautama was now determined to complete his spiritual quest. At the age of 35, he famously sat in meditation under a Ficus religiosa tree now called the Bodhi Tree in the town of Bodh Gaya and vowed not to rise before achieving enlightenment. After many days, he finally destroyed the fetters of his mind, thereby liberating himself from the cycle of suffering and rebirth, and arose as a fully enlightened being (Skt. samyaksaṃbuddha). Soon thereafter, he attracted a band of followers and instituted a monastic order. Now, as the Buddha, he spent the rest of his life teaching the path of awakening he had discovered, traveling throughout the northeastern part of the Indian subcontinent, and died at the age of 80 (483 BCE) in Kushinagar, India. The south branch of the original fig tree available only in Anuradhapura Sri Lanka is known as Jaya Sri Maha Bodhi.",What was the tree called he sat under?,True,['Ficus religiosa'],[116]
5255,Buddhism,"Gautama was now determined to complete his spiritual quest. At the age of 35, he famously sat in meditation under a Ficus religiosa tree now called the Bodhi Tree in the town of Bodh Gaya and vowed not to rise before achieving enlightenment. After many days, he finally destroyed the fetters of his mind, thereby liberating himself from the cycle of suffering and rebirth, and arose as a fully enlightened being (Skt. samyaksaṃbuddha). Soon thereafter, he attracted a band of followers and instituted a monastic order. Now, as the Buddha, he spent the rest of his life teaching the path of awakening he had discovered, traveling throughout the northeastern part of the Indian subcontinent, and died at the age of 80 (483 BCE) in Kushinagar, India. The south branch of the original fig tree available only in Anuradhapura Sri Lanka is known as Jaya Sri Maha Bodhi.",What was the tree renamed that Gautama achieved enlightenment under?,True,['Bodhi Tree'],[152]
5256,Buddhism,"Gautama was now determined to complete his spiritual quest. At the age of 35, he famously sat in meditation under a Ficus religiosa tree now called the Bodhi Tree in the town of Bodh Gaya and vowed not to rise before achieving enlightenment. After many days, he finally destroyed the fetters of his mind, thereby liberating himself from the cycle of suffering and rebirth, and arose as a fully enlightened being (Skt. samyaksaṃbuddha). Soon thereafter, he attracted a band of followers and instituted a monastic order. Now, as the Buddha, he spent the rest of his life teaching the path of awakening he had discovered, traveling throughout the northeastern part of the Indian subcontinent, and died at the age of 80 (483 BCE) in Kushinagar, India. The south branch of the original fig tree available only in Anuradhapura Sri Lanka is known as Jaya Sri Maha Bodhi.",At what age did Gautama come to pass?,True,['80'],[713]
5257,Buddhism,"Gautama was now determined to complete his spiritual quest. At the age of 35, he famously sat in meditation under a Ficus religiosa tree now called the Bodhi Tree in the town of Bodh Gaya and vowed not to rise before achieving enlightenment. After many days, he finally destroyed the fetters of his mind, thereby liberating himself from the cycle of suffering and rebirth, and arose as a fully enlightened being (Skt. samyaksaṃbuddha). Soon thereafter, he attracted a band of followers and instituted a monastic order. Now, as the Buddha, he spent the rest of his life teaching the path of awakening he had discovered, traveling throughout the northeastern part of the Indian subcontinent, and died at the age of 80 (483 BCE) in Kushinagar, India. The south branch of the original fig tree available only in Anuradhapura Sri Lanka is known as Jaya Sri Maha Bodhi.",When he was 35 Gautama sat in meditation under what tree?,True,['Bodhi Tree'],[152]
5258,Buddhism,"Gautama was now determined to complete his spiritual quest. At the age of 35, he famously sat in meditation under a Ficus religiosa tree now called the Bodhi Tree in the town of Bodh Gaya and vowed not to rise before achieving enlightenment. After many days, he finally destroyed the fetters of his mind, thereby liberating himself from the cycle of suffering and rebirth, and arose as a fully enlightened being (Skt. samyaksaṃbuddha). Soon thereafter, he attracted a band of followers and instituted a monastic order. Now, as the Buddha, he spent the rest of his life teaching the path of awakening he had discovered, traveling throughout the northeastern part of the Indian subcontinent, and died at the age of 80 (483 BCE) in Kushinagar, India. The south branch of the original fig tree available only in Anuradhapura Sri Lanka is known as Jaya Sri Maha Bodhi.",What type of tree was the Bodhi Tree?,True,['Ficus religiosa'],[116]
5259,Buddhism,"Gautama was now determined to complete his spiritual quest. At the age of 35, he famously sat in meditation under a Ficus religiosa tree now called the Bodhi Tree in the town of Bodh Gaya and vowed not to rise before achieving enlightenment. After many days, he finally destroyed the fetters of his mind, thereby liberating himself from the cycle of suffering and rebirth, and arose as a fully enlightened being (Skt. samyaksaṃbuddha). Soon thereafter, he attracted a band of followers and instituted a monastic order. Now, as the Buddha, he spent the rest of his life teaching the path of awakening he had discovered, traveling throughout the northeastern part of the Indian subcontinent, and died at the age of 80 (483 BCE) in Kushinagar, India. The south branch of the original fig tree available only in Anuradhapura Sri Lanka is known as Jaya Sri Maha Bodhi.",What town was the Bodhi Tree in?,True,['Bodh Gaya'],[178]
5260,Buddhism,"Gautama was now determined to complete his spiritual quest. At the age of 35, he famously sat in meditation under a Ficus religiosa tree now called the Bodhi Tree in the town of Bodh Gaya and vowed not to rise before achieving enlightenment. After many days, he finally destroyed the fetters of his mind, thereby liberating himself from the cycle of suffering and rebirth, and arose as a fully enlightened being (Skt. samyaksaṃbuddha). Soon thereafter, he attracted a band of followers and instituted a monastic order. Now, as the Buddha, he spent the rest of his life teaching the path of awakening he had discovered, traveling throughout the northeastern part of the Indian subcontinent, and died at the age of 80 (483 BCE) in Kushinagar, India. The south branch of the original fig tree available only in Anuradhapura Sri Lanka is known as Jaya Sri Maha Bodhi.",The south branch of the original fig tree is known as?,True,['Jaya Sri Maha Bodhi'],[843]
5261,Buddhism,"Within Buddhism, samsara is defined as the continual repetitive cycle of birth and death that arises from ordinary beings' grasping and fixating on a self and experiences. Specifically, samsara refers to the process of cycling through one rebirth after another within the six realms of existence,[note 2] where each realm can be understood as physical realm or a psychological state characterized by a particular type of suffering. Samsara arises out of avidya (ignorance) and is characterized by dukkha (suffering, anxiety, dissatisfaction). In the Buddhist view, liberation from samsara is possible by following the Buddhist path.",What is samsara?,True,['the continual repetitive cycle of birth and death'],[39]
5262,Buddhism,"Within Buddhism, samsara is defined as the continual repetitive cycle of birth and death that arises from ordinary beings' grasping and fixating on a self and experiences. Specifically, samsara refers to the process of cycling through one rebirth after another within the six realms of existence,[note 2] where each realm can be understood as physical realm or a psychological state characterized by a particular type of suffering. Samsara arises out of avidya (ignorance) and is characterized by dukkha (suffering, anxiety, dissatisfaction). In the Buddhist view, liberation from samsara is possible by following the Buddhist path.",What is avidya?,True,['ignorance'],[462]
5266,Buddhism,"Within Buddhism, samsara is defined as the continual repetitive cycle of birth and death that arises from ordinary beings' grasping and fixating on a self and experiences. Specifically, samsara refers to the process of cycling through one rebirth after another within the six realms of existence,[note 2] where each realm can be understood as physical realm or a psychological state characterized by a particular type of suffering. Samsara arises out of avidya (ignorance) and is characterized by dukkha (suffering, anxiety, dissatisfaction). In the Buddhist view, liberation from samsara is possible by following the Buddhist path.",How many realms of existence are there in Buddhism?,True,['six'],[272]
5268,Buddhism,"Within Buddhism, samsara is defined as the continual repetitive cycle of birth and death that arises from ordinary beings' grasping and fixating on a self and experiences. Specifically, samsara refers to the process of cycling through one rebirth after another within the six realms of existence,[note 2] where each realm can be understood as physical realm or a psychological state characterized by a particular type of suffering. Samsara arises out of avidya (ignorance) and is characterized by dukkha (suffering, anxiety, dissatisfaction). In the Buddhist view, liberation from samsara is possible by following the Buddhist path.",How can you be freed from samsara?,True,['by following the Buddhist path'],[601]
5271,Buddhism,"Within Buddhism, samsara is defined as the continual repetitive cycle of birth and death that arises from ordinary beings' grasping and fixating on a self and experiences. Specifically, samsara refers to the process of cycling through one rebirth after another within the six realms of existence,[note 2] where each realm can be understood as physical realm or a psychological state characterized by a particular type of suffering. Samsara arises out of avidya (ignorance) and is characterized by dukkha (suffering, anxiety, dissatisfaction). In the Buddhist view, liberation from samsara is possible by following the Buddhist path.",Realms can be understood as physical realms of what type of states?,True,['psychological'],[363]
5273,Buddhism,"Within Buddhism, samsara is defined as the continual repetitive cycle of birth and death that arises from ordinary beings' grasping and fixating on a self and experiences. Specifically, samsara refers to the process of cycling through one rebirth after another within the six realms of existence,[note 2] where each realm can be understood as physical realm or a psychological state characterized by a particular type of suffering. Samsara arises out of avidya (ignorance) and is characterized by dukkha (suffering, anxiety, dissatisfaction). In the Buddhist view, liberation from samsara is possible by following the Buddhist path.",A person can get away from samsara by doing what?,True,['following the Buddhist path'],[604]
5274,Buddhism,"In Buddhism, Karma (from Sanskrit: ""action, work"") is the force that drives saṃsāra—the cycle of suffering and rebirth for each being. Good, skillful deeds (Pali: ""kusala"") and bad, unskillful (Pāli: ""akusala"") actions produce ""seeds"" in the mind that come to fruition either in this life or in a subsequent rebirth. The avoidance of unwholesome actions and the cultivation of positive actions is called sīla. Karma specifically refers to those actions of body, speech or mind that spring from mental intent (cetanā), and bring about a consequence or phala ""fruit"" or vipāka ""result"".",What does the Sanskrit term Karma translate as?,True,"['action, work']",[36]
5275,Buddhism,"In Buddhism, Karma (from Sanskrit: ""action, work"") is the force that drives saṃsāra—the cycle of suffering and rebirth for each being. Good, skillful deeds (Pali: ""kusala"") and bad, unskillful (Pāli: ""akusala"") actions produce ""seeds"" in the mind that come to fruition either in this life or in a subsequent rebirth. The avoidance of unwholesome actions and the cultivation of positive actions is called sīla. Karma specifically refers to those actions of body, speech or mind that spring from mental intent (cetanā), and bring about a consequence or phala ""fruit"" or vipāka ""result"".",What is karma according to Buddhism?,True,['the force that drives saṃsāra'],[54]
5277,Buddhism,"In Buddhism, Karma (from Sanskrit: ""action, work"") is the force that drives saṃsāra—the cycle of suffering and rebirth for each being. Good, skillful deeds (Pali: ""kusala"") and bad, unskillful (Pāli: ""akusala"") actions produce ""seeds"" in the mind that come to fruition either in this life or in a subsequent rebirth. The avoidance of unwholesome actions and the cultivation of positive actions is called sīla. Karma specifically refers to those actions of body, speech or mind that spring from mental intent (cetanā), and bring about a consequence or phala ""fruit"" or vipāka ""result"".",What actions does karma refer to in Buddhism?,True,"['actions of body, speech or mind that spring from mental intent']",[445]
5278,Buddhism,"In Buddhism, Karma (from Sanskrit: ""action, work"") is the force that drives saṃsāra—the cycle of suffering and rebirth for each being. Good, skillful deeds (Pali: ""kusala"") and bad, unskillful (Pāli: ""akusala"") actions produce ""seeds"" in the mind that come to fruition either in this life or in a subsequent rebirth. The avoidance of unwholesome actions and the cultivation of positive actions is called sīla. Karma specifically refers to those actions of body, speech or mind that spring from mental intent (cetanā), and bring about a consequence or phala ""fruit"" or vipāka ""result"".",What is the definition of Karma from Sanskrit?,True,"['action, work']",[36]
5279,Buddhism,"In Buddhism, Karma (from Sanskrit: ""action, work"") is the force that drives saṃsāra—the cycle of suffering and rebirth for each being. Good, skillful deeds (Pali: ""kusala"") and bad, unskillful (Pāli: ""akusala"") actions produce ""seeds"" in the mind that come to fruition either in this life or in a subsequent rebirth. The avoidance of unwholesome actions and the cultivation of positive actions is called sīla. Karma specifically refers to those actions of body, speech or mind that spring from mental intent (cetanā), and bring about a consequence or phala ""fruit"" or vipāka ""result"".",What is the avoidance of bad acts called?,True,['sīla'],[404]
5280,Buddhism,"In Buddhism, Karma (from Sanskrit: ""action, work"") is the force that drives saṃsāra—the cycle of suffering and rebirth for each being. Good, skillful deeds (Pali: ""kusala"") and bad, unskillful (Pāli: ""akusala"") actions produce ""seeds"" in the mind that come to fruition either in this life or in a subsequent rebirth. The avoidance of unwholesome actions and the cultivation of positive actions is called sīla. Karma specifically refers to those actions of body, speech or mind that spring from mental intent (cetanā), and bring about a consequence or phala ""fruit"" or vipāka ""result"".",Karma's actions come from what?,True,['cetanā'],[509]
5282,Buddhism,"In Buddhism, Karma (from Sanskrit: ""action, work"") is the force that drives saṃsāra—the cycle of suffering and rebirth for each being. Good, skillful deeds (Pali: ""kusala"") and bad, unskillful (Pāli: ""akusala"") actions produce ""seeds"" in the mind that come to fruition either in this life or in a subsequent rebirth. The avoidance of unwholesome actions and the cultivation of positive actions is called sīla. Karma specifically refers to those actions of body, speech or mind that spring from mental intent (cetanā), and bring about a consequence or phala ""fruit"" or vipāka ""result"".",What is Karma?,True,['the force that drives saṃsāra'],[54]
5283,Buddhism,"In Buddhism, Karma (from Sanskrit: ""action, work"") is the force that drives saṃsāra—the cycle of suffering and rebirth for each being. Good, skillful deeds (Pali: ""kusala"") and bad, unskillful (Pāli: ""akusala"") actions produce ""seeds"" in the mind that come to fruition either in this life or in a subsequent rebirth. The avoidance of unwholesome actions and the cultivation of positive actions is called sīla. Karma specifically refers to those actions of body, speech or mind that spring from mental intent (cetanā), and bring about a consequence or phala ""fruit"" or vipāka ""result"".",Avoidance of unwholesome actions and use of positive actions is called what?,True,['sīla'],[404]
5284,Buddhism,"In Buddhism, Karma (from Sanskrit: ""action, work"") is the force that drives saṃsāra—the cycle of suffering and rebirth for each being. Good, skillful deeds (Pali: ""kusala"") and bad, unskillful (Pāli: ""akusala"") actions produce ""seeds"" in the mind that come to fruition either in this life or in a subsequent rebirth. The avoidance of unwholesome actions and the cultivation of positive actions is called sīla. Karma specifically refers to those actions of body, speech or mind that spring from mental intent (cetanā), and bring about a consequence or phala ""fruit"" or vipāka ""result"".",what does vipaka mean?,True,['result'],[576]
5285,Buddhism,"In Theravada Buddhism there can be no divine salvation or forgiveness for one's karma, since it is a purely impersonal process that is a part of the makeup of the universe.[citation needed] In Mahayana Buddhism, the texts of certain Mahayana sutras (such as the Lotus Sutra, the Aṅgulimālīya Sūtra and the Mahāyāna Mahāparinirvāṇa Sūtra) claim that the recitation or merely the hearing of their texts can expunge great swathes of negative karma. Some forms of Buddhism (for example, Vajrayana) regard the recitation of mantras as a means for cutting off of previous negative karma. The Japanese Pure Land teacher Genshin taught that Amitābha has the power to destroy the karma that would otherwise bind one in saṃsāra.",In which branch of Buddhism is it believed that there can be no divine salvation or forgiveness for karma?,True,['Theravada Buddhism'],[3]
5286,Buddhism,"In Theravada Buddhism there can be no divine salvation or forgiveness for one's karma, since it is a purely impersonal process that is a part of the makeup of the universe.[citation needed] In Mahayana Buddhism, the texts of certain Mahayana sutras (such as the Lotus Sutra, the Aṅgulimālīya Sūtra and the Mahāyāna Mahāparinirvāṇa Sūtra) claim that the recitation or merely the hearing of their texts can expunge great swathes of negative karma. Some forms of Buddhism (for example, Vajrayana) regard the recitation of mantras as a means for cutting off of previous negative karma. The Japanese Pure Land teacher Genshin taught that Amitābha has the power to destroy the karma that would otherwise bind one in saṃsāra.","In Mahayana Buddhism, what are some Mahayana sutras that are believed to remove negative karma just by the hearing of the texts?",True,"['the Lotus Sutra, the Aṅgulimālīya Sūtra and the Mahāyāna Mahāparinirvāṇa Sūtra']",[258]
5288,Buddhism,"In Theravada Buddhism there can be no divine salvation or forgiveness for one's karma, since it is a purely impersonal process that is a part of the makeup of the universe.[citation needed] In Mahayana Buddhism, the texts of certain Mahayana sutras (such as the Lotus Sutra, the Aṅgulimālīya Sūtra and the Mahāyāna Mahāparinirvāṇa Sūtra) claim that the recitation or merely the hearing of their texts can expunge great swathes of negative karma. Some forms of Buddhism (for example, Vajrayana) regard the recitation of mantras as a means for cutting off of previous negative karma. The Japanese Pure Land teacher Genshin taught that Amitābha has the power to destroy the karma that would otherwise bind one in saṃsāra.","According to Genshin, who has the power to destroy karma?",True,['Amitābha'],[633]
5289,Buddhism,"In Theravada Buddhism there can be no divine salvation or forgiveness for one's karma, since it is a purely impersonal process that is a part of the makeup of the universe.[citation needed] In Mahayana Buddhism, the texts of certain Mahayana sutras (such as the Lotus Sutra, the Aṅgulimālīya Sūtra and the Mahāyāna Mahāparinirvāṇa Sūtra) claim that the recitation or merely the hearing of their texts can expunge great swathes of negative karma. Some forms of Buddhism (for example, Vajrayana) regard the recitation of mantras as a means for cutting off of previous negative karma. The Japanese Pure Land teacher Genshin taught that Amitābha has the power to destroy the karma that would otherwise bind one in saṃsāra.",What Buddhism says that salvation is unattainable?,True,['Theravada Buddhism'],[3]
5290,Buddhism,"In Theravada Buddhism there can be no divine salvation or forgiveness for one's karma, since it is a purely impersonal process that is a part of the makeup of the universe.[citation needed] In Mahayana Buddhism, the texts of certain Mahayana sutras (such as the Lotus Sutra, the Aṅgulimālīya Sūtra and the Mahāyāna Mahāparinirvāṇa Sūtra) claim that the recitation or merely the hearing of their texts can expunge great swathes of negative karma. Some forms of Buddhism (for example, Vajrayana) regard the recitation of mantras as a means for cutting off of previous negative karma. The Japanese Pure Land teacher Genshin taught that Amitābha has the power to destroy the karma that would otherwise bind one in saṃsāra.",Who has the power to destroy bad karma?,True,['Amitābha'],[633]
5291,Buddhism,"In Theravada Buddhism there can be no divine salvation or forgiveness for one's karma, since it is a purely impersonal process that is a part of the makeup of the universe.[citation needed] In Mahayana Buddhism, the texts of certain Mahayana sutras (such as the Lotus Sutra, the Aṅgulimālīya Sūtra and the Mahāyāna Mahāparinirvāṇa Sūtra) claim that the recitation or merely the hearing of their texts can expunge great swathes of negative karma. Some forms of Buddhism (for example, Vajrayana) regard the recitation of mantras as a means for cutting off of previous negative karma. The Japanese Pure Land teacher Genshin taught that Amitābha has the power to destroy the karma that would otherwise bind one in saṃsāra.",What type of sutra is the Lotus Sutra?,True,['Mahayana'],[193]
5292,Buddhism,"In Theravada Buddhism there can be no divine salvation or forgiveness for one's karma, since it is a purely impersonal process that is a part of the makeup of the universe.[citation needed] In Mahayana Buddhism, the texts of certain Mahayana sutras (such as the Lotus Sutra, the Aṅgulimālīya Sūtra and the Mahāyāna Mahāparinirvāṇa Sūtra) claim that the recitation or merely the hearing of their texts can expunge great swathes of negative karma. Some forms of Buddhism (for example, Vajrayana) regard the recitation of mantras as a means for cutting off of previous negative karma. The Japanese Pure Land teacher Genshin taught that Amitābha has the power to destroy the karma that would otherwise bind one in saṃsāra.",Some mantras are used for cutting off what type of karma?,True,['negative'],[430]
5293,Buddhism,"In Theravada Buddhism there can be no divine salvation or forgiveness for one's karma, since it is a purely impersonal process that is a part of the makeup of the universe.[citation needed] In Mahayana Buddhism, the texts of certain Mahayana sutras (such as the Lotus Sutra, the Aṅgulimālīya Sūtra and the Mahāyāna Mahāparinirvāṇa Sūtra) claim that the recitation or merely the hearing of their texts can expunge great swathes of negative karma. Some forms of Buddhism (for example, Vajrayana) regard the recitation of mantras as a means for cutting off of previous negative karma. The Japanese Pure Land teacher Genshin taught that Amitābha has the power to destroy the karma that would otherwise bind one in saṃsāra.",Who was the Japanese Pure Land teacher?,True,['Genshin'],[613]
5294,Buddhism,"In Theravada Buddhism there can be no divine salvation or forgiveness for one's karma, since it is a purely impersonal process that is a part of the makeup of the universe.[citation needed] In Mahayana Buddhism, the texts of certain Mahayana sutras (such as the Lotus Sutra, the Aṅgulimālīya Sūtra and the Mahāyāna Mahāparinirvāṇa Sūtra) claim that the recitation or merely the hearing of their texts can expunge great swathes of negative karma. Some forms of Buddhism (for example, Vajrayana) regard the recitation of mantras as a means for cutting off of previous negative karma. The Japanese Pure Land teacher Genshin taught that Amitābha has the power to destroy the karma that would otherwise bind one in saṃsāra.","According to Genshin, whats has the power to destroy karma?",True,['Amitābha'],[633]
5296,Buddhism,"Rebirth refers to a process whereby beings go through a succession of lifetimes as one of many possible forms of sentient life, each running from conception to death. The doctrine of anattā (Sanskrit anātman) rejects the concepts of a permanent self or an unchanging, eternal soul, as it is called in Hinduism and Christianity. According to Buddhism there ultimately is no such thing as a self independent from the rest of the universe. Buddhists also refer to themselves as the believers of the anatta doctrine—Nairatmyavadin or Anattavadin. Rebirth in subsequent existences must be understood as the continuation of a dynamic, ever-changing process of pratītyasamutpāda (""dependent arising"") determined by the laws of cause and effect (karma) rather than that of one being, reincarnating from one existence to the next.",Which doctrine denies the concept of a permanent self or soul?,True,['The doctrine of anattā (Sanskrit anātman)'],[167]
5297,Buddhism,"Rebirth refers to a process whereby beings go through a succession of lifetimes as one of many possible forms of sentient life, each running from conception to death. The doctrine of anattā (Sanskrit anātman) rejects the concepts of a permanent self or an unchanging, eternal soul, as it is called in Hinduism and Christianity. According to Buddhism there ultimately is no such thing as a self independent from the rest of the universe. Buddhists also refer to themselves as the believers of the anatta doctrine—Nairatmyavadin or Anattavadin. Rebirth in subsequent existences must be understood as the continuation of a dynamic, ever-changing process of pratītyasamutpāda (""dependent arising"") determined by the laws of cause and effect (karma) rather than that of one being, reincarnating from one existence to the next.","In Buddhism, rebirth into consecutive lives is determined by what?",True,['the laws of cause and effect'],[708]
5301,Buddhism,"Rebirth refers to a process whereby beings go through a succession of lifetimes as one of many possible forms of sentient life, each running from conception to death. The doctrine of anattā (Sanskrit anātman) rejects the concepts of a permanent self or an unchanging, eternal soul, as it is called in Hinduism and Christianity. According to Buddhism there ultimately is no such thing as a self independent from the rest of the universe. Buddhists also refer to themselves as the believers of the anatta doctrine—Nairatmyavadin or Anattavadin. Rebirth in subsequent existences must be understood as the continuation of a dynamic, ever-changing process of pratītyasamutpāda (""dependent arising"") determined by the laws of cause and effect (karma) rather than that of one being, reincarnating from one existence to the next.",What doctrine rejects the idea of permanent self?,True,['anatta'],[496]
5302,Buddhism,"Rebirth refers to a process whereby beings go through a succession of lifetimes as one of many possible forms of sentient life, each running from conception to death. The doctrine of anattā (Sanskrit anātman) rejects the concepts of a permanent self or an unchanging, eternal soul, as it is called in Hinduism and Christianity. According to Buddhism there ultimately is no such thing as a self independent from the rest of the universe. Buddhists also refer to themselves as the believers of the anatta doctrine—Nairatmyavadin or Anattavadin. Rebirth in subsequent existences must be understood as the continuation of a dynamic, ever-changing process of pratītyasamutpāda (""dependent arising"") determined by the laws of cause and effect (karma) rather than that of one being, reincarnating from one existence to the next.","""dependent arising"" is the meaning of what word?",True,['pratītyasamutpāda'],[654]
5303,Buddhism,"Rebirth refers to a process whereby beings go through a succession of lifetimes as one of many possible forms of sentient life, each running from conception to death. The doctrine of anattā (Sanskrit anātman) rejects the concepts of a permanent self or an unchanging, eternal soul, as it is called in Hinduism and Christianity. According to Buddhism there ultimately is no such thing as a self independent from the rest of the universe. Buddhists also refer to themselves as the believers of the anatta doctrine—Nairatmyavadin or Anattavadin. Rebirth in subsequent existences must be understood as the continuation of a dynamic, ever-changing process of pratītyasamutpāda (""dependent arising"") determined by the laws of cause and effect (karma) rather than that of one being, reincarnating from one existence to the next.",Hinduism and Christianity use what term for a permanent self?,True,['eternal soul'],[268]
5304,Buddhism,"The above are further subdivided into 31 planes of existence.[web 4] Rebirths in some of the higher heavens, known as the Śuddhāvāsa Worlds or Pure Abodes, can be attained only by skilled Buddhist practitioners known as anāgāmis (non-returners). Rebirths in the Ārūpyadhātu (formless realms) can be attained by only those who can meditate on the arūpajhānas, the highest object of meditation.",Rebirth into the Śuddhāvāsa Worlds or Pure Abodes can only be attained by who?,True,['skilled Buddhist practitioners known as anāgāmis (non-returners)'],[180]
5308,Buddhism,"The above are further subdivided into 31 planes of existence.[web 4] Rebirths in some of the higher heavens, known as the Śuddhāvāsa Worlds or Pure Abodes, can be attained only by skilled Buddhist practitioners known as anāgāmis (non-returners). Rebirths in the Ārūpyadhātu (formless realms) can be attained by only those who can meditate on the arūpajhānas, the highest object of meditation.",What are skilled Buddhists called?,True,['anāgāmis'],[220]
5309,Buddhism,"The above are further subdivided into 31 planes of existence.[web 4] Rebirths in some of the higher heavens, known as the Śuddhāvāsa Worlds or Pure Abodes, can be attained only by skilled Buddhist practitioners known as anāgāmis (non-returners). Rebirths in the Ārūpyadhātu (formless realms) can be attained by only those who can meditate on the arūpajhānas, the highest object of meditation.",What is another name for Ārūpyadhātu?,True,['formless realms'],[275]
5311,Buddhism,"The above are further subdivided into 31 planes of existence.[web 4] Rebirths in some of the higher heavens, known as the Śuddhāvāsa Worlds or Pure Abodes, can be attained only by skilled Buddhist practitioners known as anāgāmis (non-returners). Rebirths in the Ārūpyadhātu (formless realms) can be attained by only those who can meditate on the arūpajhānas, the highest object of meditation.",How many planes of existence?,True,['31'],[38]
5312,Buddhism,"The above are further subdivided into 31 planes of existence.[web 4] Rebirths in some of the higher heavens, known as the Śuddhāvāsa Worlds or Pure Abodes, can be attained only by skilled Buddhist practitioners known as anāgāmis (non-returners). Rebirths in the Ārūpyadhātu (formless realms) can be attained by only those who can meditate on the arūpajhānas, the highest object of meditation.",Skilled buddhist practictioners that can get to the higher heavens are known as what?,True,['anāgāmis'],[220]
5314,Buddhism,"The above are further subdivided into 31 planes of existence.[web 4] Rebirths in some of the higher heavens, known as the Śuddhāvāsa Worlds or Pure Abodes, can be attained only by skilled Buddhist practitioners known as anāgāmis (non-returners). Rebirths in the Ārūpyadhātu (formless realms) can be attained by only those who can meditate on the arūpajhānas, the highest object of meditation.",What does arupyadhatu mean?,True,['formless realms'],[275]
5315,Buddhism,"According to East Asian and Tibetan Buddhism, there is an intermediate state (Tibetan ""bardo"") between one life and the next. The orthodox Theravada position rejects this; however there are passages in the Samyutta Nikaya of the Pali Canon that seem to lend support to the idea that the Buddha taught of an intermediate stage between one life and the next.[page needed]",There is a transitional state between one life and the next according to what branches of Buddhism?,True,['East Asian and Tibetan'],[13]
5316,Buddhism,"According to East Asian and Tibetan Buddhism, there is an intermediate state (Tibetan ""bardo"") between one life and the next. The orthodox Theravada position rejects this; however there are passages in the Samyutta Nikaya of the Pali Canon that seem to lend support to the idea that the Buddha taught of an intermediate stage between one life and the next.[page needed]",What branch of Buddhism rejects that there is a transitional state between lives?,True,['Theravada'],[139]
5317,Buddhism,"According to East Asian and Tibetan Buddhism, there is an intermediate state (Tibetan ""bardo"") between one life and the next. The orthodox Theravada position rejects this; however there are passages in the Samyutta Nikaya of the Pali Canon that seem to lend support to the idea that the Buddha taught of an intermediate stage between one life and the next.[page needed]",Passages in what teaching support the idea that the Buddha taught of a stage between lives?,True,['Samyutta Nikaya of the Pali Canon'],[206]
5322,Buddhism,"According to East Asian and Tibetan Buddhism, there is an intermediate state (Tibetan ""bardo"") between one life and the next. The orthodox Theravada position rejects this; however there are passages in the Samyutta Nikaya of the Pali Canon that seem to lend support to the idea that the Buddha taught of an intermediate stage between one life and the next.[page needed]",There is an intermediate state between one life and the next according to what Buddism?,True,['East Asian and Tibetan'],[13]
5323,Buddhism,"According to East Asian and Tibetan Buddhism, there is an intermediate state (Tibetan ""bardo"") between one life and the next. The orthodox Theravada position rejects this; however there are passages in the Samyutta Nikaya of the Pali Canon that seem to lend support to the idea that the Buddha taught of an intermediate stage between one life and the next.[page needed]",What type of Theravada rejects the intermediate state idea?,True,['orthodox'],[130]
5327,Buddhism,"The teachings on the Four Noble Truths are regarded as central to the teachings of Buddhism, and are said to provide a conceptual framework for Buddhist thought. These four truths explain the nature of dukkha (suffering, anxiety, unsatisfactoriness), its causes, and how it can be overcome. The four truths are:[note 4]",What teachings are the most important to Buddhism?,True,['the Four Noble Truths'],[17]
5328,Buddhism,"The teachings on the Four Noble Truths are regarded as central to the teachings of Buddhism, and are said to provide a conceptual framework for Buddhist thought. These four truths explain the nature of dukkha (suffering, anxiety, unsatisfactoriness), its causes, and how it can be overcome. The four truths are:[note 4]",What part of Dukkha deals with pain?,True,['suffering'],[210]
5330,Buddhism,"The teachings on the Four Noble Truths are regarded as central to the teachings of Buddhism, and are said to provide a conceptual framework for Buddhist thought. These four truths explain the nature of dukkha (suffering, anxiety, unsatisfactoriness), its causes, and how it can be overcome. The four truths are:[note 4]",The four truths explain the nature of what?,True,['dukkha'],[202]
5332,Buddhism,"The first truth explains the nature of dukkha. Dukkha is commonly translated as ""suffering"", ""anxiety"", ""unsatisfactoriness"", ""unease"", etc., and it is said to have the following three aspects:",What is Dukkha?,True,"['""suffering"", ""anxiety"", ""unsatisfactoriness"", ""unease"", etc.']",[80]
5334,Buddhism,"The first truth explains the nature of dukkha. Dukkha is commonly translated as ""suffering"", ""anxiety"", ""unsatisfactoriness"", ""unease"", etc., and it is said to have the following three aspects:",What is another word for Dukkha?,True,['suffering'],[81]
5335,Buddhism,"The first truth explains the nature of dukkha. Dukkha is commonly translated as ""suffering"", ""anxiety"", ""unsatisfactoriness"", ""unease"", etc., and it is said to have the following three aspects:",What is another nature of Dukkha?,True,['anxiety'],[94]
